price,bhk,area,carpetarea,pricepersquare,additionalrooms,status,possesiondate,locality,projectname,age,roadfaceing,bathroom,floor,balconies,totalfloor,neworold,opensides,facing,overlooking,ownership,amenitiesavailable,amenitiesnot
3440000,1 BHK Apartment ,580 sq ft,450 sq ft,"₹ 5,931/ sq ft ",,Under Construction,Dec 2020,Ravet,Builder V uptown Ravet,,35 feet,1,"3, ",1,18,New,1,East,"Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",
3700000,1 BHK Apartment ,595 sq ft,,"₹ 6,218/ sq ft ",,"Ready to move,Semi-Furnished",,Mundhwa,Anandtara Akansha,2 - 3 years,50 feet,1,"2, ",,4,Resale,1,East,"Road View, Garden View",Co-Operative Society,"Car Parking,Power Backup,24 X 7 Security,Landscaped Gardens,Wardrobe","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,AC,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
24000000,3 BHK Apartment ,"1,750 sq ft",,"₹ 13,714/ sq ft ",,"Ready to move,Semi-Furnished",,Kalyani Nagar,Lunkad Skylounge,9 - 10 years,,3,"1, ",1,10,Resale,,North,"Corner, Garden View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,BED","Sports Facility,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection"
10400000,3 BHK Apartment ,"1,528 sq ft",1132 sq ft,"₹ 6,806/ sq ft ",,Under Construction,Sep 2021,Hinjewadi,Godrej 24,,40 feet,3,"4, ",,17,New,1,East,"Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,ATM",
8100000,2 BHK Apartment ,810 sq ft,760 sq ft,"₹ 10,000/ sq ft ",,"Ready to move,Unfurnished",,Dhanukar Colony,,18 years,,1,"2, ",1,2,Resale,2,South,,Freehold,24 X 7 Security,"Lift Available,Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
12000000,3 BHK Apartment ,"1,582 sq ft",1172 sq ft,"₹ 7,585/ sq ft ",,Under Construction,Dec 2022,Sus,Goel Ganga Acropolis,,40 feet,3,"4, ",,21,New,1,East,"Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",
6000000,2 BHK Apartment ,"1,115 sq ft",825 sq ft,"₹ 5,381/ sq ft ",1 rooms( study room ),Ready to move,,Tathawade,Golecha Ethos,0 - 1 year,50 feet,2,"8, ",2,12,New,2,East,"Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Gas connection","Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,BED"
4900000,2 BHK Apartment ,920 sq ft,,"₹ 5,326/ sq ft ",,"Ready to move,Unfurnished",,Wagholi,Walhekar Aishwarya Laxmi,6 - 7 years,,2,"6, ",,7,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",Sports Facility
11000000,3 BHK Apartment ,"1,550 sq ft",,"₹ 7,096/ sq ft ",,"Ready to move,Unfurnished",,Kalyani Nagar,Kumar Kumar Kruti,6 - 7 years,20 feet,3,"5, ",1,12,Resale,4,West,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",
4800000,2 BHK Apartment ,810 sq ft,,"₹ 5,925/ sq ft ",,"Ready to move,Unfurnished",,Kharadi,Gulmohar Paradise Homes,6 - 7 years,,2,2,,,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Jogging Track","Children's play area,Swimming Pool,Sports Facility,Landscaped Gardens"
8100000,2 BHK Apartment ,"1,335 sq ft",,"₹ 6,067/ sq ft ",,Ready to move,,Viman Nagar,Bhakti Apartments,6 - 7 years,,2,4,,,New,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Gymnasium,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Club House,Swimming Pool,Sports Facility,Landscaped Gardens"
12100000,3 BHK Apartment ,"2,285 sq ft",,"₹ 5,295/ sq ft ",,"Ready to move,Unfurnished",,Kharadi,Geras Greens Ville Sky Villas,6 - 7 years,,3,3,,,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",
12000000,3 BHK Apartment ,"1,840 sq ft",,"₹ 6,521/ sq ft ",,Ready to move,,Viman Nagar,Atur James Court,11 - 12 years,,3,3,,,New,,NorthEast,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Swimming Pool,Sports Facility"
11000000,3 BHK Villa ,"2,100 sq ft",,"₹ 5,238/ sq ft ",,"Ready to move,Furnished",,Wagholi,Bhandari Chrrysalis,6 - 7 years,,3,Gr,,,Resale,,East,,Co-Operative Society,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Indoor Games,Jogging Track,Rain Water Harvesting,Landscaped Gardens","Lift Available,Sports Facility"
10500000,3 BHK Villa ,"1,900 sq ft",,"₹ 5,526/ sq ft ",,"Ready to move,Furnished",,Wagholi,,6 - 7 years,,3,Gr,,,Resale,,East,,Freehold,"Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Lift Available,Children's play area,Sports Facility,Landscaped Gardens"
