price,bhk,area,carpetarea,pricepersquare,additionalrooms,status,possesiondate,locality,projectname,age,roadfaceing,bathroom,floor,balconies,totalfloor,neworold,opensides,facing,overlooking,ownership,amenitiesavailable,amenitiesnot
6314000,2 BHK Apartment ,"1,040 sq ft",760 sq ft,"₹ 6,071/ sq ft ",,Under Construction,Dec 2018,Bavdhan,Prime Utsav Homes 3 Phase 1,,40 feet,2,"2, ",1,13,New,1,East,"Corner, Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens",
7000000,2 BHK Apartment ,"1,290 sq ft",,"₹ 5,426/ sq ft ",,"Ready to move,Semi-Furnished",,Kharadi,Geras Park View,3 - 4 years,18 feet,2,"14, ",,14,Resale,2,East,"Corner, Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Children's play area,Sports Facility,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
50200000,3 BHK Apartment ,"3,040 sq ft",,"₹ 16,513/ sq ft ",,Under Construction,Jan 2018,Kalyani Nagar,,,,3,"4, ",1,22,New,,East,"Pool View, Garden View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting,ATM","Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
58800000,4 BHK Apartment ,"4,200 sq ft",,"₹ 14,000/ sq ft ","2 rooms( study room, servant room )",Under Construction,Mar 2018,Kalyani Nagar,,,,5,"10, ",3,17,New,,West,"Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Gymnasium,Sports Facility,Jogging Track"
61500000,4 BHK Apartment ,"4,105 sq ft",,"₹ 14,981/ sq ft ",1 rooms( servant room ),Under Construction,Jan 2018,Kalyani Nagar,,,,5,"14, ",1,22,New,,West,"Road View, Garden View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens,Shopping Mall,School,Hospital,ATM","Sports Facility,Jogging Track"
64000000,4 BHK Apartment ,"4,002 sq ft",,"₹ 15,992/ sq ft ","2 rooms( servant room, pooja room )",Under Construction,Jun 2018,Kalyani Nagar,,,,4,"9, ",2,12,New,,East,"Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens","Gymnasium,Swimming Pool,Sports Facility,Jogging Track"
66300000,4 BHK Apartment ,"4,017 sq ft",,"₹ 16,504/ sq ft ","2 rooms( servant room, pooja room )",Under Construction,Jun 2018,Kalyani Nagar,,,,4,"6, ",2,12,New,,East,"Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Maintenance Staff,Intercom,Rain Water Harvesting,Landscaped Gardens","Gymnasium,Swimming Pool,Sports Facility,Jogging Track"
9200000,2 BHK Apartment ,"1,150 sq ft",,"₹ 8,000/ sq ft ",,"Ready to move,Furnished",,Dhole Patil Road,,10 - 11 years,,2,"3, ",1,8,Resale,,East,"Road View, Garden View",Freehold,"Sofa,Washing Machine,Dining Table,Gas connection","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Wifi,BED"
65100000,4 BHK Apartment ,"4,100 sq ft",,"₹ 15,878/ sq ft ",1 rooms( pooja room ),"Ready to move,Semi-Furnished",,Kalyani Nagar,,10 - 11 years,,5,"8, ",3,22,Resale,,East,Garden View,Freehold,"Refrigerator,Sofa,Washing Machine,Dining Table,Gas connection","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Wifi,BED"
9800000,2 BHK Apartment ,"1,100 sq ft",,"₹ 8,909/ sq ft ",,"Ready to move,Furnished",,Kalyani Nagar,,10 - 11 years,,2,"4, ",1,7,Resale,,East,"Garden View, Pool View, Road View",Freehold,"Sofa,Washing Machine,Gas connection","Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,Wardrobe,TV,Refrigerator,Wifi,Dining Table,BED"
