price,bhk,area,carpetarea,pricepersquare,additionalrooms,status,possesiondate,locality,projectname,age,roadfaceing,bathroom,floor,balconies,totalfloor,neworold,opensides,facing,overlooking,ownership,amenitiesavailable,amenitiesnot
11085300,2 BHK Apartment ,"1,962 sq ft",,"₹ 5,650/ sq ft ",,Ready to move,,Wagholi,Marvel Realtors Fria,3 years,,,Gr,,,New,,,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Intercom,Golf Course,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",
2625000,1 BHK Apartment ,700 sq ft,,"₹ 3,750/ sq ft ",,Ready to move,,Wagholi,F5 Realtors Silver Crest,2 - 3 years,,,Gr,,,New,,,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
2501250,1 BHK Apartment ,667 sq ft,,"₹ 3,750/ sq ft ",,Ready to move,,Wagholi,F5 Realtors Silver Crest,2 - 3 years,,,Gr,,,New,,,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
13500000,3 BHK Apartment ,"1,288 sq ft",,"₹ 10,481/ sq ft ",,"Ready to move,Unfurnished",,Kothrud,Yugal Constructions Suryashail,0 - 1 year,100 feet,2,"9, ",,9,Resale,2,West,"Road View, Garden View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Gymnasium,Jogging Track,Intercom,Rain Water Harvesting,Staff Quarter,Landscaped Gardens,AC,Wardrobe,TV","Club House,Swimming Pool,Sports Facility,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
5400000,2 BHK Apartment ,"1,055 sq ft",715 sq ft,"₹ 5,118/ sq ft ",,Ready to move,,Sus,S3 Properties Prime,0 - 1 year,,2,"3, ",,10,New,,East,"Corner, Garden View, Road View",Co-Operative Society,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Swimming Pool,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens","Gymnasium,Sports Facility"
5500000,2 BHK Apartment ,900 sq ft,770 sq ft,"₹ 6,111/ sq ft ",,Ready to move,,Baner,Builder sai paradise,0 - 1 year,80 feet,2,"1, ",,5,New,3,East,,,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
1875000,1 BHK Apartment ,382 sq ft,294 sq ft,"₹ 4,908/ sq ft ",,"Ready to move,Unfurnished",,Hinjewadi,Xrbia North Hinjewadi Developers Private Limited Xrbia,1 year,60 feet,1,"7, ",,7,Resale,1,East,"Corner, Garden View, Pool View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Cafeteria,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM",Sports Facility
3950000,2 BHK Apartment ,933 sq ft,690 sq ft,"₹ 4,233/ sq ft ",,Ready to move,,Wagholi,Living Cities Fantasy,0 - 1 year,18 feet,2,"2, ",1,4,New,2,South,Road View,Co-Operative Society,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Sports Facility,Jogging Track,Maintenance Staff,Rain Water Harvesting,Landscaped Gardens,School,Hospital,ATM","Club House,Gymnasium,Swimming Pool"
9500000,3 BHK Apartment ,"1,400 sq ft",,"₹ 6,785/ sq ft ",,"Ready to move,Semi-Furnished",,Chinchwad,Mind Space MSR Queenstown,4 - 5 years,,3,"5, ",2,12,Resale,,,Garden View,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Rain Water Harvesting,Multipurpose Room,Landscaped Gardens,Shopping Mall,Hospital,Wardrobe,Gas connection","AC,TV,Refrigerator,Sofa,Wifi,Dining Table,BED"
32700000,4 BHK Apartment ,"2,787 sq ft",,"₹ 11,733/ sq ft ",,"Ready to move,Unfurnished",,Kalyani Nagar,,,,,,,,Resale,,,,Freehold,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
5800000,1 BHK Apartment ,500 sq ft,,"₹ 11,600/ sq ft ",,"Ready to move,Unfurnished",,Bund Garden,,,,1,,,,Resale,,East,,Freehold,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
6600000,1 BHK Apartment ,550 sq ft,,"₹ 12,000/ sq ft ",,"Ready to move,Unfurnished",,Bund Garden,,,,1,,,,Resale,,,,Freehold,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
9500000,2 BHK Apartment ,"1,056 sq ft",,"₹ 8,996/ sq ft ",,"Ready to move,Unfurnished",,Kalyani Nagar,,,,2,,,,Resale,,East,,Freehold,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
17000000,3 BHK Other Residential ,"2,400 sq ft",,"₹ 7,083/ sq ft ",,Ready to move,,Viman Nagar,,3 - 4 years,,3,9,,,New,,,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Children's play area,Sports Facility,Landscaped Gardens"
14700000,4 BHK Apartment ,"1,945 sq ft",,"₹ 7,557/ sq ft ",,"Ready to move,Unfurnished",,Viman Nagar,,,,4,,,,Resale,,East,,Freehold,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
5300000,1 BHK Apartment ,520 sq ft,,"₹ 10,192/ sq ft ",,"Ready to move,Semi-Furnished",,Kalyani Nagar,,15 - 16 years,,1,"1, ",1,5,Resale,,East,,,"Lift Available,24 X 7 Security,Wardrobe,Sofa,BED","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,AC,TV,Refrigerator,Wifi,Dining Table,Gas connection"
13000000,3 BHK Apartment ,"1,750 sq ft",,"₹ 7,428/ sq ft ",,"Ready to move,Unfurnished",,Viman Nagar,,,,3,,,,Resale,,,,Freehold,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
11000000,2 BHK Apartment ,"1,350 sq ft",,"₹ 8,148/ sq ft ",,"Ready to move,Unfurnished",,Viman Nagar,,,,2,,,,Resale,,,,Freehold,,"Lift Available,Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens"
9797240,2 BHK Independent Floor ,"1,240 sq ft",,"₹ 7,901/ sq ft ",,Ready to move,,Koregaon Park,,2 - 3 years,,2,,,,New,,East,,,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting","Children's play area,Sports Facility,Landscaped Gardens"
5500000,2 BHK Apartment ,"1,050 sq ft",,"₹ 5,238/ sq ft ",,"Ready to move,Unfurnished",,Viman Nagar,Ramesh Builders Hermes Drome,11 - 12 years,,2,3,,,Resale,,East,,Freehold,"Lift Available,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
4100000,2 BHK Apartment ,849 sq ft,,"₹ 4,829/ sq ft ",,"Ready to move,Unfurnished",,Wagholi,,11 - 12 years,,2,3,,,Resale,,East,,Freehold,"Lift Available,Power Backup,24 X 7 Security,Vaastu Compliant,Jogging Track","Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
3500000,1 BHK Apartment ,530 sq ft,,"₹ 6,604/ sq ft ",,"Ready to move,Unfurnished",,Viman Nagar,Lunkad Realty Dreamland,11 - 12 years,,1,4,,,Resale,,NorthEast,,Freehold,"Lift Available,Car Parking,24 X 7 Security,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
7500000,2 BHK Apartment ,"1,000 sq ft",,"₹ 7,500/ sq ft ",,"Ready to move,Unfurnished",,Kalyani Nagar,Sanjay Kakade Group Kalyani Nagar,16 - 17 years,,2,2,,,Resale,,NorthEast,,Freehold,"Lift Available,Car Parking,24 X 7 Security,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
3800000,1 BHK Apartment ,550 sq ft,,"₹ 6,909/ sq ft ",,"Ready to move,Unfurnished",,Viman Nagar,Goel Ganga Nebula,11 - 12 years,,1,2,,,Resale,,North,,Freehold,"Lift Available,Car Parking,24 X 7 Security,Jogging Track","Power Backup,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Landscaped Gardens"
