price,bhk,area,carpetarea,pricepersquare,additionalrooms,status,possesiondate,locality,projectname,age,roadfaceing,bathroom,floor,balconies,totalfloor,neworold,opensides,facing,overlooking,ownership,amenitiesavailable,amenitiesnot
2250000, Residential Plot ,"5,000 sq ft",,₹ 450/ sq ft ,,,,Chandkhed,Eureka Golden Nest,,20 feet,,,,,New,2,East,Road View,Freehold,"Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Swimming Pool,Jogging Track,Landscaped Gardens,School","Lift Available,Club House,Gymnasium,Sports Facility"
4500000, Residential Plot ,"10,000 sq ft",,₹ 450/ sq ft ,,,,Chandkhed,Eureka Golden Nest,,20 feet,,,,,New,2,East,Road View,Freehold,"Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track,Landscaped Gardens","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility"
9000000, Residential Plot ,"20,000 sq ft",,₹ 450/ sq ft ,,,,Chandkhed,Eureka Nest,,20 feet,,,,,New,2,East,"Road View, Garden View",Freehold,"Car Parking,Power Backup,24 X 7 Security,Children's play area,Jogging Track,Rain Water Harvesting,Landscaped Gardens,School","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility"
11250000, Residential Plot ,"15,000 sq ft",,₹ 750/ sq ft ,,,,Hinjewadi,Builder eureka Golden Bird Nere,,20 feet,,,,,New,2,East,Road View,Freehold,"Power Backup,24 X 7 Security,Jogging Track,Landscaped Gardens","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility"
6750000, Residential Plot ,"9,000 sq ft",,₹ 750/ sq ft ,,,,Hinjewadi,Builder eureka golden Bird,,20 feet,,,,,New,2,East,Road View,Freehold,"Power Backup,24 X 7 Security,Jogging Track,Landscaped Gardens","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility"
1500000, Residential Plot ,"2,000 sq ft",,₹ 750/ sq ft ,,,,Hinjewadi,,,20 feet,,,,,New,2,East,Road View,Freehold,"Power Backup,24 X 7 Security,Jogging Track,Landscaped Gardens","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility"
33750000, Residential Plot ,"45,000 sq ft",,₹ 750/ sq ft ,,,,Hinjewadi,Builder eureka Golden Bird Nere,,20 feet,,,,,New,2,West,Road View,Freehold,"Power Backup,24 X 7 Security,Landscaped Gardens","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track"
37500000, Residential Plot ,"50,000 sq ft",,₹ 750/ sq ft ,,,,Hinjewadi,Builder eureka golden Bird,,20 feet,,,,,New,2,West,Road View,Freehold,"Power Backup,24 X 7 Security,Landscaped Gardens","Lift Available,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track"
18450000, Residential Plot ,"41,000 sq ft",,₹ 450/ sq ft ,,,,Chandkhed,Eureka Nest,,20 feet,,,,,New,2,East,Road View,Freehold,"Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track,Rain Water Harvesting,Landscaped Gardens,School","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility"
6750000, Residential Plot ,"15,000 sq ft",,₹ 450/ sq ft ,,,,Chandkhed,Eureka Nest,,20 feet,,,,,New,2,East,Road View,Freehold,"Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track,Rain Water Harvesting,Landscaped Gardens,School","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility"
2250000, Residential Plot ,"5,000 sq ft",,₹ 450/ sq ft ,,,,Chandkhed,Eureka Nest,,20 feet,,,,,New,2,East,Road View,Freehold,"Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track,Rain Water Harvesting,Landscaped Gardens,School","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility"
4950000, Residential Plot ,"11,000 sq ft",,₹ 450/ sq ft ,,,,Chandkhed,Eureka Nest,,20 feet,,,,,New,2,East,Road View,Freehold,"Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Jogging Track,Rain Water Harvesting,Landscaped Gardens,School","Lift Available,Club House,Gymnasium,Swimming Pool,Sports Facility"
9000000,3 BHK Apartment ,"1,980 sq ft",,"₹ 4,545/ sq ft ",,"Ready to move,Unfurnished",,Undri,Kolte Patil 24K Allura,11 - 12 years,,3,"8, ",,9,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter,Shopping Mall,School,Hospital,ATM","Sports Facility,Landscaped Gardens"
13000000,3 BHK Apartment ,"1,515 sq ft",,"₹ 8,580/ sq ft ",,"Ready to move,Unfurnished",,Undri,Kolte Patil Elburz Hills Dales,2 - 3 years,,3,"4, ",,11,Resale,,East,,Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Jogging Track,Rain Water Harvesting,Staff Quarter","Sports Facility,Landscaped Gardens"
7200000,2 BHK Apartment ,"1,284 sq ft",,"₹ 5,607/ sq ft ",,"Ready to move,Semi-Furnished",,Wagholi,Marvel Fria,3 - 4 years,100 feet,2,"3, ",2,12,Resale,2,East,"Pool View, Garden View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Indoor Games,Jogging Track,Maintenance Staff,Intercom,Golf Course,Rain Water Harvesting,Staff Quarter,Multipurpose Room,Landscaped Gardens,Shopping Mall,School,Hospital,ATM,AC","Wardrobe,TV,Refrigerator,Sofa,Wifi,Dining Table,Gas connection,BED"
3700000,1 BHK Apartment ,611 sq ft,572 sq ft,"₹ 6,055/ sq ft ",,"Ready to move,Unfurnished",,Dhayari,Nanded Mangal Bhairav,2 - 3 years,200 feet,1,"11, ",1,11,Resale,4,East,"Corner, Garden View, Road View",Freehold,"Lift Available,Car Parking,Power Backup,24 X 7 Security,Children's play area,Vaastu Compliant,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Rain Water Harvesting,Staff Quarter,Landscaped Gardens",
